,trial,center_freq,3dB_freq,res_sharpness,abf_name,cell_ID,file_time,has_spike
1322,avg,1.1358358358358358,7.809009009009008,1.1523540642854648,2020_01_06_0043.abf,2020_01_06_0048,2020-01-06 17:20:02.234,0.0
1372,avg,1.2354354354354355,4.083983983983984,1.0732673264951065,19228045.abf,32,2019-02-28 18:13:19.203,0.0
1397,avg,0.9963963963963963,4.0640640640640635,1.0603109317594328,19319032.abf,35,2019-03-19 17:37:44.953,0.0
1408,avg,1.2553553553553554,20.0,1.1015822468974492,19228080.abf,34,2019-02-28 19:32:35.953,0.0
1431,avg,0,1.6935935935935937,0,19228063.abf,33,2019-02-28 18:44:28.578,0.0
1440,avg,4.024224224224224,10.538038038038037,1.385720560130593,2020_03_02_0024.abf,3,2020-03-02 16:37:40.718,0.0
1444,avg,0,2.769269269269269,0,2020_01_27_0000.abf,20,2020-01-27 12:55:40.562,0.0
1452,avg,0,8.824924924924924,0,2019_11_26_0112.abf,18,2019-11-26 18:42:08.015,0.0
1460,avg,2.3111111111111113,6.215415415415415,1.2760321172152853,2020_01_28_0032.abf,27,2020-01-28 21:09:15.875,0.0
1471,avg,0,4.442542542542542,0,18032014_0163.abf,9,2014-03-18 19:45:36.475,0.0
1482,avg,0,4.0640640640640635,0,18032014_0015.abf,7,2014-03-18 16:10:45.059,0.0
1503,avg,0,1.613913913913914,0,19129016.abf,29,2019-01-29 13:35:30.375,0.0
1509,avg,0,4.004304304304304,0,2019_11_26_0067.abf,16,2019-11-26 16:59:17.796,0.0
1520,avg,0,2.868868868868869,0,17032014_0188.abf,6,2014-03-17 17:10:24.598,0.0
1523,avg,0.9565565565565565,3.4465465465465464,1.0139310120973295,2019_11_26_0096.abf,17,2019-11-26 17:55:14.921,0.0
1534,avg,0,0.5183183183183183,0,2016_02_29_0005.abf,1,2016-02-29 14:19:48.359,0.0
1544,avg,0.0,6.215415415415415,0.0,2016_02_29_0043.abf,10,2016-02-29 15:35:23.203,0.0
1547,avg,1.0163163163163162,8.685485485485485,1.0315863135915082,2019_11_28_0120.abf,19,2019-11-28 17:16:55.562,0.0
1555,avg,1.3151151151151153,6.334934934934934,1.0477029255883414,2020_01_28_0018.abf,26,2020-01-28 18:31:27.390,0.0
1566,avg,0,0.6975975975975975,0,18032014_0098.abf,8,2014-03-18 18:22:32.478,0.0
1570,avg,0,2.052152152152152,0,2020_01_27_0007.abf,21,2020-01-27 14:04:13.187,0.0
1582,avg,0,6.494294294294294,0,19129006.abf,36,2019-01-29 12:38:47.046,0.0
1600,avg,0,1.9724724724724725,0,19228031.abf,31,2019-02-28 16:21:56.375,0.0
1619,avg,0,3.2672672672672673,0,19228001.abf,30,2019-02-28 13:19:22.046,0.0
1623,avg,0,8.127727727727727,0,2020_01_27_0045.abf,24,2020-01-27 21:27:07.546,0.0
1630,avg,0.8967967967967968,3.327027027027027,1.0836748241842957,2020_01_27_0043.abf,23,2020-01-27 21:02:12.640,0.0
1641,avg,0,2.2911911911911913,0,17032014_0075.abf,4,2014-03-17 14:00:42.725,0.0
1652,avg,0,0.5183183183183183,0,17032014_0013.abf,3,2014-03-17 12:41:26.801,0.0
1659,avg,4.88078078078078,18.944244244244246,1.1967552272620179,2019_11_04_0088.abf,12,2019-11-04 15:38:51.578,0.0
1672,avg,0,0.6776776776776776,0,2019_11_04_0114.abf,13,2019-11-04 17:22:58.562,0.0
1683,avg,0,5.02022022022022,0,17032014_0111.abf,5,2014-03-17 15:08:18.629,0.0
1689,avg,0,3.008308308308308,0,2019_11_26_0002.abf,14,2019-11-26 12:58:09.140,0.0
1696,avg,0,4.8608608608608606,0,2020_01_27_0017.abf,22,2020-01-27 16:35:14.046,0.0
