,cell_id,expt_date,layer_name,recorder_name,full_path,abf_version,num_sweeps,resp_chan,resp_gain,resp_sampling_rate,rmp_error,rmp_val,stim_amp_vec,stim_chan,stim_duration,stim_end_time,stim_gain,stim_path,stim_sampling_rate,stim_start_time,valid_stim
174,14317300.abf,2014-03-17,L2.3,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L23/Lihua/Totallayer2-Lihua-lastversion/14317300.abf,2.0.0.0,30.0,0.0,1.0,10000.0,0.6713883909697103,-74.81384444565721,[-400. -375. -350. ...  275.  300.  325.],0.0,0.6,0.66556,1.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14617300.abf,25000.0,0.0656,True
177,14318308.abf,2014-03-18,L2.3,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L23/Lihua/Totallayer2-Lihua-lastversion/14318308.abf,2.0.0.0,30.0,0.0,1.0,10000.0,1.5106217437050873,-72.76916666558009,[-400. -375. -350. ...  275.  300.  325.],0.0,0.6,0.66556,1.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14617300.abf,25000.0,0.0656,True
178,14408304.abf,2014-04-08,L2.3,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L23/Lihua/Totallayer2-Lihua-lastversion/14408304.abf,2.0.0.0,25.0,0.0,1.0,10000.0,4.013063251250102,-77.3010271184376,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,,1000.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L23/Lihua/Totallayer2-Lihua-lastversion/14408304.abf,10000.0,,False
123,14424329.abf,2014-04-22,L5,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14424329.abf,2.0.0.0,30.0,0.0,1.0,25000.0,0.381471381047092,-74.02038739667209,[-400. -375. -350. ...  275.  300.  325.],0.0,0.6,0.66556,1.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14424329.abf,25000.0,0.0656,True
122,14424000.abf,2014-04-22,L5,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14424000.abf,2.0.0.0,25.0,0.0,1.0,25000.0,1.6548255956649882e-06,-74.0356461860756,[-400. -375. -350. ...  150.  175.  200.],0.0,0.6,0.66556,1.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14424000.abf,25000.0,0.0656,True
124,14424335.abf,2014-04-22,L5,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14424335.abf,2.0.0.0,30.0,0.0,1.0,10000.0,1.614239408809226e-06,-72.21985024705191,[-400. -375. -350. ...  275.  300.  325.],0.0,0.6,0.66556,1.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14617300.abf,25000.0,0.0656,True
126,14515323.abf,2014-05-15,L5,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14515323.abf,2.0.0.0,20.0,0.0,1.0,10000.0,2.197267161136594,-68.7255874736366,[0. 0. 0. ... 0. 0. 0.],0.0,0.0,,1000.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14515323.abf,10000.0,,False
125,14515300.abf,2014-05-15,L5,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14515300.abf,2.0.0.0,30.0,0.0,1.0,25000.0,1.559328694611395e-06,-69.7631851530787,[-400. -375. -350. ...  275.  300.  325.],0.0,0.6,0.66556,1.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14515300.abf,25000.0,0.0656,True
130,14515424.abf,2014-05-15,L5,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14515424.abf,2.0.0.0,25.0,0.0,1.0,25000.0,0.518800627901399,-80.5206316825889,[0. 0. 0. ... 0. 0. 0.],1.0,0.0,,1000.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14515424.abf,25000.0,,False
129,14515374.abf,2014-05-15,L5,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14515374.abf,2.0.0.0,30.0,0.0,1.0,10000.0,0.37841946013939776,-66.7236343038894,[-400. -375. -350. ...  275.  300.  325.],0.0,0.6,0.66556,1.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14617300.abf,25000.0,0.0656,True
128,14515372.abf,2014-05-15,L5,Lihua,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14515372.abf,2.0.0.0,30.0,0.0,1.0,10000.0,1.7679212902521613e-06,-79.09546075229629,[-400. -375. -350. ...  275.  300.  325.],0.0,0.6,0.66556,1.0,/Users/stripathy/Downloads/valiante_lab_ephys_mar_2020/L5/Lihua/TotalL5-Lihua-Lastversion/14617300.abf,25000.0,0.0656,True
